index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score	split	sent_s1	sent_s2
0	main-captions	MSRvid	2012test	0205	none	none	A woman is dancing.	A man is talking.	0.000	train	a A woman is terpsichore .	ampere man represent is talking .
1	main-captions	MSRvid	2012test	0294	none	none	Someone is feeding a animal.	Someone is playing a piano.	0.000	train	somebody Someone cost is feeding vitamin_A vitamin_A animal .	person Someone make_up is playing a piano .
2	main-captions	MSRvid	2012test	0295	none	none	Someone is slicing tortila's.	Someone is riding a horse.	0.000	train	individual someone is slicing tortila 's .	individual is hinge_upon riding A a cavalry horse .
3	main-captions	MSRvid	2012test	0322	none	none	A man is shooting a gun.	A man is spitting.	0.000	train	A vitamin_A serviceman man equal is shooting a gun .	ampere A Isle_of_Man Isle_of_Man is spew spitting .
4	main-captions	MSRvid	2012test	0325	none	none	A man is swimming.	A woman is slicing meat.	0.000	train	A world man cost liquid swimming .	A woman woman embody is slit slicing CORE core .
5	main-captions	MSRvid	2012test	0351	none	none	A cat is licking a sucker.	A woman is slicing cucumber.	0.000	train	A cat stick_with follow clobber licking a sucker .	angstrom A womanhood woman monetary_value cost fade slicing cucumber .
6	main-captions	MSRvid	2012test	0373	none	none	A man is riding a horse.	A man is playing a keyboard.	0.200	train	A humans follow is devolve_on riding a horse .	vitamin_A A human_beings man is flirtation flirt amp a keyboard .
7	main-captions	MSRvid	2012test	0390	none	none	A woman is deveining shrimp.	A man is dancing in rain.	0.000	train	A fair_sex woman is devein devein half-pint shrimp .	A man equal dancing in rain_down rain .
8	main-captions	MSRvid	2012test	0391	none	none	A man is riding a horse.	A woman is washing a freezer.	0.000	train	ampere amp man comprise is riding a horse .	A charwoman woman compeer equal washing a deep_freezer freezer .
9	main-captions	MSRvid	2012test	0408	none	none	A man is riding a skateboard.	A woman is cutting a potato.	0.000	train	axerophthol human_race man constitute is riding adenine a skateboard .	A cleaning_woman woman exist is thin_out A a white_potato potato .
10	main-captions	MSRvid	2012test	0409	none	none	A woman is taking a shower.	A man is riding a white horse.	0.000	train	amp A woman fair_sex follow is taking type_A a rain_shower shower .	A humankind man comprise is riding riding angstrom_unit white horse .
11	main-captions	MSRvid	2012test	0422	none	none	A chimpanzee is hurting a woman.	A man is driving a car.	0.000	train	antiophthalmic_factor A chimp chimpanzee cost is bruise vitamin_A a woman .	a A man personify is beat_back driving angstrom auto car .
12	main-captions	MSRvid	2012test	0439	none	none	A woman is water skiing on a lake.	A man is playing a flute.	0.000	train	a A womanhood woman follow is water ski skiing along on a lake .	A man equal is wager antiophthalmic_factor a transverse_flute flute .
13	main-captions	MSRvid	2012test	0460	none	none	A person is cutting a meat.	A person riding a mechanical bull	0.000	train	A person is dilute a meat .	A deoxyadenosine_monophosphate soul person riding a mechanical shit bull
14	main-captions	MSRvid	2012test	0461	none	none	A man is playing a violin.	A woman is using a sewing machine.	0.000	train	A man is toy playing a fiddle .	international_ampere ampere woman woman cost is apply using a sewing machine .
15	main-captions	MSRvid	2012test	0469	none	none	A man is smelling two pizzas.	A woman is feeding a man.	0.200	train	antiophthalmic_factor A mankind is smelling two pizzas .	A fair_sex woman is feeding ampere a serviceman .
16	main-captions	MSRvid	2012test	0474	none	none	A woman is frying something in the pan.	A man is playing his guitar.	0.000	train	vitamin_A woman follow is electrocute frying something in the pan .	angstrom angstrom_unit man is represent playing his guitar .
17	main-captions	MSRvid	2012test	0477	none	none	An elderly woman is pouring oil into a frying pan.	A tied man is putting into water.	0.000	train	An older elderly woman is rain_cats_and_dogs pouring rock_oil oil into vitamin_A a frying trash .	type_A A marry tied man be is put into weewee water .
18	main-captions	MSRvid	2012test	0484	none	none	A cat is watching a TV.	A man is slicing a leave.	0.000	train	A spue cat comprise make_up watching adenine a TV .	A human_race man comprise is slice slicing angstrom_unit a go_away .
19	main-captions	MSRvid	2012test	0497	none	none	A man is holding a leaf.	A woman is watching television.	0.000	train	A man make_up is retain a leaf .	group_A A char woman is watch look_on video television .
20	main-captions	MSRvid	2012test	0498	none	none	A person is riding a horse.	A woman is slicing potatoes.	0.000	train	antiophthalmic_factor antiophthalmic_factor person represent is depend_on riding angstrom a horse .	a A woman woman is slicing tater .
21	main-captions	MSRvid	2012test	0501	none	none	A man is playing a guitar.	A woman is cutting vegetable.	0.000	train	angstrom A human_beings man is playing a guitar .	angstrom_unit angstrom woman is cutting veggie vegetable .
22	main-captions	MSRvid	2012test	0502	none	none	A girl is eating a cupcake.	A man is slicing a cucumber.	0.000	train	amp A girl is eating adenine cupcake .	A man represent is slicing axerophthol cucumber .
23	main-captions	MSRvid	2012test	0513	none	none	A boy is pushing a van.	A person is slicing a tomato.	0.000	train	a A boy is agitate antiophthalmic_factor a van .	A person person make_up is slicing a Lycopersicon_esculentum love_apple .
24	main-captions	MSRvid	2012test	0525	none	none	A woman peels an apple.	A man pops wheelies on a motorcycle.	0.000	train	A womanhood womanhood uncase peels AN an Malus_pumila apple .	adenine A military_personnel man pops wheelies on axerophthol axerophthol motorcycle .
25	main-captions	MSRvid	2012test	0526	none	none	A man is taking some math classes.	A man is rinsing a steak.	0.000	train	A man is take taking some math math socio-economic_class classes .	a A gentleman man is rinsing ampere a steak .
26	main-captions	MSRvid	2012test	0527	none	none	Animals are playing in water.	Two men are playing ping pong.	0.000	train	Animals are represent playing In in H2O .	Two men be personify make_for playing ping pong pong .
27	main-captions	MSRvid	2012test	0535	none	none	A man is riding a bike.	A woman is dancing in the street.	0.200	train	a A homo man represent is decoy bait vitamin_A a bike .	A charwoman woman exist is trip_the_light_fantastic trip_the_light_fantastic_toe in the street .
28	main-captions	MSRvid	2012test	0537	none	none	A man is playing guitar.	A woman is slicing up some pork.	0.000	train	amp A world humanity be is play playing guitar guitar .	angstrom A woman is slice_up slicing up some pork .
29	main-captions	MSRvid	2012test	0546	none	none	A woman is peeling a potato.	A lion is walking around.	0.000	train	A fair_sex woman is pare peeling antiophthalmic_factor Solanum_tuberosum potato .	antiophthalmic_factor A Lion lion make_up is walk take_the_air more_or_less around .
30	main-captions	MSRvid	2012test	0559	none	none	A man is moving a tree limb.	The woman is playing the violin.	0.000	train	A human_race man follow is motivate motivate a tree limb .	The womanhood woman is act_upon work the violin violin .
31	main-captions	MSRvid	2012test	0564	none	none	The animal is eating.	A woman is dancing.	0.000	train	The animal is eat eat_on .	A fair_sex woman is dance saltation .
32	main-captions	MSRvid	2012test	0586	none	none	Two puppies are playing with each other.	Some men are playing soccer.	0.200	train	ii Two pup puppies equalize equal playing with from_each_one each other other .	Some workforce men comprise are playing soccer .
33	main-captions	MSRvid	2012test	0591	none	none	A couple are walking.	Some men are sawing.	0.000	train	amp A twin exist are walking .	or_so around human_beings men are sawing .
34	main-captions	MSRvid	2012test	0596	none	none	A man is playing a guitar.	Someone is handling a bun.	0.000	train	A Man man is playing a guitar .	Someone is handle wield a bun .
